time	V(n001)	V(n002)
7.576377220855625e-002	0.000000e+000	2.215077e+000
7.652106641428197e-002	0.000000e+000	1.447598e+000
7.723798846838285e-002	0.000000e+000	9.621627e-001
7.791268310660354e-002	0.000000e+000	6.568958e-001
7.859645001722435e-002	0.000000e+000	4.474862e-001
7.928182245232268e-002	0.000000e+000	3.044922e-001
7.997532164415827e-002	0.000000e+000	2.061837e-001
8.066296558955879e-002	0.000000e+000	1.400139e-001
8.135362098685409e-002	0.000000e+000	9.391846e-002
8.145564373268320e-002	0.000000e+000	8.807449e-002
8.155766647851231e-002	0.000000e+000	8.263601e-002
8.165968922434143e-002	0.000000e+000	7.760303e-002
8.176171197017054e-002	0.000000e+000	7.297554e-002
8.186373471599966e-002	0.000000e+000	6.875355e-002
8.196575746182877e-002	0.000000e+000	6.493706e-002
8.206778020765788e-002	0.000000e+000	6.152606e-002
8.212952589227819e-002	0.000000e+000	5.942154e-002
8.219127157689848e-002	0.000000e+000	5.738897e-002
8.225301726151879e-002	0.000000e+000	5.542832e-002
8.231476294613910e-002	0.000000e+000	5.353961e-002
8.237650863075940e-002	0.000000e+000	5.172283e-002
8.243825431537970e-002	0.000000e+000	4.997798e-002
8.250000000000000e-002	0.000000e+000	4.830507e-002
8.250060000000001e-002	3.000000e+000	4.888610e-002
8.250100000000001e-002	5.000000e+000	4.968074e-002
8.254780571428544e-002	5.000000e+000	1.761050e-001
8.259461142857087e-002	5.000000e+000	2.988498e-001
8.264141714285631e-002	5.000000e+000	4.179151e-001
8.268822285714175e-002	5.000000e+000	5.333009e-001
8.273502857142719e-002	5.000000e+000	6.450073e-001
8.278183428571262e-002	5.000000e+000	7.530343e-001
8.282863999999805e-002	5.000000e+000	8.573818e-001
8.315631999999611e-002	5.000000e+000	1.509265e+000
8.381167999999221e-002	5.000000e+000	2.536641e+000
8.449550264787663e-002	5.000000e+000	3.303264e+000
8.541647170335126e-002	5.000000e+000	3.971443e+000
8.636767761829475e-002	5.000000e+000	4.397909e+000
8.736767761829475e-002	5.000000e+000	4.657937e+000
8.836767761829475e-002	5.000000e+000	4.806660e+000
8.936767761829476e-002	5.000000e+000	4.895421e+000
8.975100000000001e-002	5.000000e+000	4.917972e+000
8.998435523658949e-002	5.000000e+000	4.928096e+000
9.009387591707670e-002	5.000000e+000	4.932430e+000
9.020339659756392e-002	5.000000e+000	4.936520e+000
9.031291727805113e-002	5.000000e+000	4.940365e+000
9.042243795853835e-002	5.000000e+000	4.943966e+000
9.053195863902556e-002	5.000000e+000	4.947323e+000
9.064147931951279e-002	5.000000e+000	4.950435e+000
9.075100000000000e-002	5.000000e+000	4.953303e+000
9.075200000000000e-002	2.102052e-011	4.951927e+000
9.084561714285659e-002	7.306372e-012	4.704172e+000
9.093923428571317e-002	-2.837370e-012	4.469476e+000
9.103285142856976e-002	-9.410706e-012	4.247838e+000
9.112646857142635e-002	-1.241364e-011	4.039259e+000
9.122008571428295e-002	-1.184616e-011	3.843737e+000
9.131370285713952e-002	-7.708284e-012	3.661274e+000
9.140731999999611e-002	0.000000e+000	3.491869e+000
9.206267999999222e-002	0.000000e+000	2.474243e+000
9.284580737154147e-002	0.000000e+000	1.599930e+000
9.356309279964693e-002	0.000000e+000	1.061792e+000
9.424898682636487e-002	0.000000e+000	7.200391e-001
9.492210877217845e-002	0.000000e+000	4.931765e-001
9.561334907711862e-002	0.000000e+000	3.346384e-001
9.630108771392421e-002	0.000000e+000	2.272895e-001
9.699407750779140e-002	0.000000e+000	1.539184e-001
9.768059038027108e-002	0.000000e+000	1.045915e-001
9.781569374761344e-002	0.000000e+000	9.614302e-002
9.795079711495582e-002	0.000000e+000	8.835718e-002
9.808590048229818e-002	0.000000e+000	8.123397e-002
9.822100384964055e-002	0.000000e+000	7.477339e-002
9.835610721698292e-002	0.000000e+000	6.897545e-002
9.849121058432529e-002	0.000000e+000	6.384013e-002
9.862631395166766e-002	0.000000e+000	5.936744e-002
9.880588371000795e-002	0.000000e+000	5.368072e-002
9.900000000000001e-002	0.000000e+000	4.817996e-002
9.900014285714286e-002	7.142857e-001	4.821998e-002
9.900028571428572e-002	1.428571e+000	4.831173e-002
9.900042857142857e-002	2.142857e+000	4.845522e-002
9.900057142857144e-002	2.857143e+000	4.865044e-002
9.900071428571429e-002	3.571429e+000	4.889740e-002
9.900085714285715e-002	4.285714e+000	4.919609e-002
9.900100000000001e-002	5.000000e+000	4.954652e-002
9.903096967218136e-002	5.000000e+000	1.310551e-001
9.906093934436272e-002	5.000000e+000	2.109854e-001
9.909090901654408e-002	5.000000e+000	2.893374e-001
9.912087868872543e-002	5.000000e+000	3.661111e-001
9.915084836090679e-002	5.000000e+000	4.413065e-001
9.918081803308815e-002	5.000000e+000	5.149236e-001
9.921078770526950e-002	5.000000e+000	5.869625e-001
9.942060102251621e-002	5.000000e+000	1.054181e+000
9.984022765700960e-002	5.000000e+000	1.880673e+000
1.000000000000000e-001	5.000000e+000	2.161700e+000
